product_ndc,generic_name,brand_name,manufacturer_name,dosage_form,route
78271-041,Sodium Bicarbonate,AHHH Bite Relief,78271,GEL,TOPICAL
79481-0063,"dextromethorphan hydrobromide, guaifenesin",adult cough and chest congestion,"Meijer, Inc.",SOLUTION,ORAL
79539-002,Isopropanol and Compound double-stranded quaternary ammonium salts,Instant Hand Sanitizeing Wipe,"Shandong Yayun Sanitary Products Co., Ltd.",CLOTH,TOPICAL
79903-157,"Polyvinyl alcohol, Povidone",Equate Artificial Tears,"Walmart, Inc.",SOLUTION/ DROPS,OPHTHALMIC
76420-354,Eszopiclone,Eszopiclone,"Asclemed USA, Inc.","TABLET, FILM COATED",ORAL
76420-758,Oxycodone Hydrochloride,Oxycodone Hydrochloride,"Asclemed USA, Inc.",TABLET,ORAL
76472-1157,PHYTOLACCA AMERICANA ROOT,Phytolacca Decandra,SEVENE USA,PELLET,SUBLINGUAL
77039-024,alcohol,AWAS ALCOHOLSPRAY,IDO PHARM,SPRAY,TOPICAL
82724-007,Hypromellose Eye Drops 0.7%,Focus PI,COVALENT MEDICAL,FOR SOLUTION,OPHTHALMIC
82804-108,isosorbide dinitrate,ISOSORBIDE DINITRATE,Proficient Rx LP,TABLET,ORAL
82804-994,Phenazopyridine Hydrochloride,Phenazopyridine Hydrochloride,Proficient Rx LP,TABLET,ORAL
82953-010,"Avobenzone,Homosalate,Octocrylene,Octisalate","Sun ,Bug Handsfree 01","Cosmuses Cosmetics (Ningbo) Co., Ltd.",CREAM,TOPICAL
80489-333,Allantoin,Drs. pharmacy Scar Cream,"OL PHARMA TECH, LLC Drs PHARMACY",CREAM,TOPICAL
79913-101,Alcohol/purified water,Alcohol sanitizer wipes,"SHANDONG HENGFA HYGIENIC PRODUCTS CO., LTD.",CLOTH,TOPICAL
80425-0091,Sucralfate,Sucralfate,"Advanced Rx of Tennessee, LLC",TABLET,ORAL
80425-0359,albuterol sulfate,Albuterol Sulfate HFA,"Advanced Rx of Tennessee, LLC","AEROSOL, METERED",RESPIRATORY (INHALATION)
80684-130,ALCOHOL,B Pure Moisturizing Hand Sanitizer Poppy Scented,"Fourstar Group USA, Inc",LIQUID,TOPICAL
81033-266,Valproic Acid,Valproic Acid,Kesin Pharma Corporation,SOLUTION,ORAL
81389-001,ACETAMINOPHEN,SafeTynadol,Sinew Pharma Inc.,"TABLET, COATED",ORAL
0615-8056,SIMVASTATIN,SIMVASTATIN,"NCS HealthCare of KY, LLC dba Vangard Labs","TABLET, FILM COATED",ORAL
0615-8189,ROPINIROLE HYDROCHLORIDE,ROPINIROLE HYDROCHLORIDE,"NCS HealthCare of KY, LLC dba Vangard Labs","TABLET, FILM COATED",ORAL
0615-8254,Lisinopril,Lisinopril,"NCS HealthCare of KY, LLC dba Vangard Labs",TABLET,ORAL
82275-001,Alcohol Prep Pads,Isopropyl Alcohol,"Shenzhen Intra Industry Co., Ltd",SWAB,TOPICAL
82442-850,"Avobenzone, Homosalate, Octisalate, Octocrylene",Target Up and Up SPF 50 Banana Scented Sunscreen,TARGET CORPORATION,SPRAY,TOPICAL
82620-001,lidocaine,HemRid Anorectal Cream,KKA & Associates LLC,CREAM,TOPICAL
82996-007,WATER,Eye Wash,"Hubei Changjian Medical Products Co., Ltd.",LIQUID,TOPICAL
83027-0071,"Thuja Occidentalis, Calcarea Carbonica, Silicea, Salmonella Typhi Nosode, Serum Anguillae, Bacillus Tetani(Clostridium Tetani), Malandrinum, Morbillinum, Parotidinum, Rubella Nosode, Yersinia Enterocolitica, Salmonella Enteriditis",Vax Sode,"Nutritional Specialties, Inc.",SPRAY,ORAL
82969-2088,"Ammonium carb, Argentum met, Camphor, Gelsemium, Ignatia, Moschus, Selenium",Bestmade Natural Products BM88,Bestmade Natural Products,LIQUID,ORAL
82969-5008,Ammonium Muriaticum,Bestmade Natural Products Ammonium Mur,Bestmade Natural Products,"TABLET, SOLUBLE",ORAL
0713-0593,Miconazole nitrate,MICONAZOLE 3 COMBINATION PACK (miconazole nitrate) kit,"Cosette Pharmaceuticals, Inc.",KIT,
84165-004,Menthol,COLD HOT CHINESE RED TIGER PAIN RELIEF GeI-Patch,"Guangzhou Zhupuyou E-commerce Co., Ltd",PATCH,TOPICAL
0713-0875,olmesartan medoxomil / amlodipine besylate / hydrochlorothiazide,Tribenzor,"Cosette Pharmaceuticals, Inc.","TABLET, FILM COATED",ORAL
84447-103,Diphenhydramine HCL,Diphenhydramine HCL,Belleview Biosciences,SOLUTION,ORAL
83100-1763,Zinc Oxide,pavise Lip Defense tinted hydrating oil (hue 774),B.A.I. Biosciences INC.,LOTION,TOPICAL
83252-129,Zinc Oxide sunscreen,Oze Sun Mineral Sunscreen SPF50,VEGANIC SKN LIMITED,CREAM,TOPICAL
83324-065,Advanced Hand Sanitizer,Advanced Hand Sanitizer,Chain Drug Marketing Association,LIQUID,TOPICAL
83342-892,Salicylic Acid,Dercos Salicylic Acid Anti-Dandruff Serum,PRODUCTOS CAPILARES L'OREAL SA,LIQUID,TOPICAL
83570-535,Camphora HPUS,Owell Naturals Draw Salve with Aloe,Owell Naturals Brand LLC,SALVE,TOPICAL
83698-263,"QC Antacid Soft Chews, Cherry","QC Ultra Strength Antacid Soft Chews, Cherry","Xiamen Kang Zhongyuan Biotechnology Co., Ltd.","TABLET, CHEWABLE",ORAL
83814-006,BENZALKONIUM CHLORIDE,Zoviro,"Zoviro, LLC",LIQUID,TOPICAL
83986-996,Ethyl Alcohol,Advanced Hand Sanitizer with Aloe,"UpLift Brands, LLC",GEL,TOPICAL
84103-007,prademagene zamikeracel,ZEVASKYN,Abeona Therapeutics Inc.,CELLULAR SHEET,TOPICAL
0781-2335,"DEXTROAMPHETAMINE SACCHARATE, AMPHETAMINE ASPARTATE MONOHYDRATE, DEXTROAMPHETAMINE SULFATE, and AMPHETAMINE SULFATE","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate, and Amphetamine Sulfate",Sandoz Inc,"CAPSULE, EXTENDED RELEASE",ORAL
84876-005,Menthol,Menthol pain relief patches,Menthol pain relief patch,PATCH,TOPICAL
85050-575,OATMEAL,Serawise Eczema Rescue,DrAnaMaria.com LLC,CREAM,TOPICAL
84549-301,Succinylcholine Chloride,Succinylcholine Chloride,ProPharma Distribution,"INJECTION, SOLUTION","INTRAMUSCULAR, INTRAVENOUS"
11584-0030,butalbital and acetaminophen,Tencon,El Dorado Distributors LLC,TABLET,ORAL
11673-753,esomeprazole magnesium,Up and Up Esomeprazole Magnesium,Target Corporation,"CAPSULE, DELAYED RELEASE",ORAL
11822-0061,omeprazole,omeprazole,Rite Aid,"CAPSULE, DELAYED RELEASE",ORAL
11822-3024,"Hydrogen Peroxide, Menthol",Oral Sore Antiseptic,Rite Aid Corporation,LIQUID,ORAL
10967-614,Aluminum Zirconium Tetrachlorohydrex Gly liquid,Mitchum Smart Solid,Revlon Consumer Products Corp,LIQUID,TOPICAL
71851-005,pemivibart,,"WuXi Biologics Co., Ltd",INJECTION,
72450-824,Aluminum Zirconium Trichlorohydrex Gly,,"Elementis SRL, Inc.",POWDER,
73056-002,"ACETAMINOPHEN, CAFFEINE, PYRILAMINE MALEATE",,Bioventure Healthcare - FZE,TABLET,
73377-228,Brimonidine Tartrate,,AX Pharmaceutical Corp,POWDER,
75895-0279,Mometasone Furoate,,MSD International GmbH (Singapore Branch),INHALANT,
76397-014,Macitentan,,"Zhejiang Ausun Pharmaceutical Co., Ltd.",POWDER,
80425-0445,Cyclobenzaprine Hydrochloride,,"Advanced Rx Pharmacy of Tennessee, LLC",KIT,
82139-0025,Mycophenolate Sodium,,RAKSHIT DRUGS PRIVATE LIMITED,POWDER,
82646-002,CRIIa,,MERIBEL PHARMA PESSAC,"PELLETS, COATED, EXTENDED RELEASE",
86184-224,LAPATINIB DITOSYLATE MONOHYDRATE,,MAEDA INC,POWDER,
83511-010,Niacinamide,,STHREE CHEMICALS PRIVATE LIMITED,POWDER,
84206-0013,ATORVASTATIN CALCIUM,,Matrix Pharmacorp Private Limited,POWDER,
84586-001,CX-038839 OMICRON (XBB.1.5),,Alloga Logstica Espaa S.L.,"INJECTION, SUSPENSION",
85207-060,Epithalon Acetate,,SCH Global Services Private Limited,POWDER,
21130-947,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine HCl",Daytime Cold and Flu,"BETTER LIVING BRANDS, LLC",LIQUID,ORAL
0093-5417,Clozapine,Clozapine,"Teva Pharmaceuticals USA, Inc.","TABLET, ORALLY DISINTEGRATING",ORAL
22840-1418,Fraxinus velutina,Arizona Velvet Ash Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"
0093-7273,Pioglitazone,Pioglitazone,"Teva Pharmaceuticals USA, Inc.",TABLET,ORAL
22840-3489,Platanus occidentalis,American Sycamore Pollen,"Greer Laboratories, Inc.",SOLUTION,"INTRADERMAL, PERCUTANEOUS, SUBCUTANEOUS"
